id,scientific_name,scientific_name_authorship,taxon_rank,accepted_name_usage,taxonomic_status,occurrence_status,establishment_means,degree_of_establishment,accepted_name_usage_id,family
860a6be0-c29c-495b-b74c-940e2eda50e1,"Gnaphalium spicatum",Lam.,species,"Gamochaeta purpurea",misapplication,excluded,native,native,97801afc-2890-488c-97c2-a7f43bfab852,Asteraceae
3c1c511f-aae0-4235-8b13-4a67b5b65305,"Gnaphalium subfalcatum",Cabrera,species,"Gamochaeta calviceps",misapplication,excluded,native,native,483c54c7-9fa0-4d8b-872f-3723e7c9280f,Asteraceae
c5a04d9a-d177-4f04-8579-5490c6738317,"Gnaphalium traversii",Hook.f.,species,"Euchiton traversii",homotypicSynonym,excluded,native,native,1b94bb0a-809f-4627-981a-af025ec282dc,Asteraceae
10dba2b6-4e22-437a-9bcf-f2fc416e18e9,"Gnaphalium umbricola",J.H.Willis,species,"Euchiton umbricola",homotypicSynonym,excluded,native,native,43329a54-c906-4f4b-8b4f-de3f026f37fc,Asteraceae
5655912e-e955-45ed-bb5c-81ef3196dda7,Gnephosis,,genus,Gnephosis,accepted,present,native,native,5655912e-e955-45ed-bb5c-81ef3196dda7,Asteraceae
f77430b0-3385-48b2-a84e-262e4cbace8f,"Gnephosis baracchiana","Ewart & Jean White",species,"Trichanthodium baracchianum",homotypicSynonym,excluded,native,native,86aa4993-94c6-4732-8b9b-dddc32dcd2d8,Asteraceae
c582ccc8-50e5-41e1-8bfa-83cf4f6d3d5c,"Gnephosis drummondii","(A.Gray) P.S.Short",species,"Gnephosis drummondii",accepted,present,native,native,c582ccc8-50e5-41e1-8bfa-83cf4f6d3d5c,Asteraceae
34bdbee3-8a48-4449-bbb2-329f95d98d1e,"Gnephosis skirrophora","(F.Muell. & Sond. ex Sond.) Benth.",species,"Trichanthodium skirrophorum",homotypicSynonym,excluded,native,native,9f25dfbd-f682-46f1-a9d3-669bac24a9fe,Asteraceae
6c63dff4-e8f4-40ce-80f6-00bd40c18d84,"Gnephosis tenuissima",Cass.,species,"Gnephosis tenuissima",accepted,present,native,native,6c63dff4-e8f4-40ce-80f6-00bd40c18d84,Asteraceae
6ac0efda-70de-11e6-a989-005056b0018f,Gnetopsida,,class,Gnetopsida,accepted,extinct,introduced,,6ac0efda-70de-11e6-a989-005056b0018f,
e156e894-deb0-49e5-bc88-59de9ad7c847,Gnidia,,genus,Gnidia,accepted,present,introduced,casual,e156e894-deb0-49e5-bc88-59de9ad7c847,Thymelaeaceae
73ba036c-aa02-4250-9348-b1961f604050,"Gnidia squarrosa","(L.) Druce",species,"Gnidia squarrosa",accepted,present,introduced,casual,73ba036c-aa02-4250-9348-b1961f604050,Thymelaeaceae
6549abdc-22f5-4d04-a2c9-1247496ddfff,Gomphocarpus,,genus,Gomphocarpus,accepted,present,introduced,,6549abdc-22f5-4d04-a2c9-1247496ddfff,Apocynaceae
398d8cca-0985-49c9-93c9-abfa9408ab73,"Gomphocarpus cancellatus","(Burm.f.) Bruyns",species,"Gomphocarpus cancellatus",accepted,present,introduced,established,398d8cca-0985-49c9-93c9-abfa9408ab73,Apocynaceae
30c243c0-941f-43e9-a499-06df653f66aa,"Gomphocarpus fruticosus","(L.) W.T.Aiton",species,"Gomphocarpus fruticosus",accepted,present,introduced,,30c243c0-941f-43e9-a499-06df653f66aa,Apocynaceae
723f6de4-a4d9-4fa7-ae4d-ea72563e6bce,"Gomphocarpus fruticosus subsp. fruticosus",,subspecies,"Gomphocarpus fruticosus subsp. fruticosus",accepted,present,introduced,established,723f6de4-a4d9-4fa7-ae4d-ea72563e6bce,Apocynaceae
05e7c66a-9f21-4412-9813-7e5a1c0645ac,"Gomphocarpus physocarpus",E.Mey.,species,"Gomphocarpus physocarpus",accepted,present,introduced,casual,05e7c66a-9f21-4412-9813-7e5a1c0645ac,Apocynaceae
db2cd8e1-3314-4f46-b17f-84edabebf22c,Gompholobium,,genus,Gompholobium,accepted,present,native,native,db2cd8e1-3314-4f46-b17f-84edabebf22c,Fabaceae
6f84ccda-3e10-409a-883b-425683502ba9,"Gompholobium ecostatum",Kuchel,species,"Gompholobium ecostatum",accepted,present,native,native,6f84ccda-3e10-409a-883b-425683502ba9,Fabaceae
e0573ce6-987a-4169-8b01-a01cf8a69c03,"Gompholobium glabratum","Sieber ex DC.",species,"Gompholobium glabratum",accepted,present,native,native,e0573ce6-987a-4169-8b01-a01cf8a69c03,Fabaceae
a8745161-decb-4346-a37c-df1b836d4a38,"Gompholobium huegelii",Benth.,species,"Gompholobium huegelii",accepted,present,native,native,a8745161-decb-4346-a37c-df1b836d4a38,Fabaceae
